JEFE DE PRODUCTO,MASTERCOL S.A.,https://www.bumeran.com.pe/empleos-area-marketing-y-publicidad-discapacitados-apto.html,,"Lima, Lima"
Junior Product Analyst,MONNET PAGOS EN LINEA S.A.C.,https://www.bumeran.com.pe/empleos-area-marketing-y-publicidad-discapacitados-apto.html,,"Lima, Lima"
Analista de Producción de Eventos,REAL PLAZA,https://www.bumeran.com.pe/empleos-area-marketing-y-publicidad-discapacitados-apto.html,,"Lima, Lima"
Analista Senior De Gestión Voz Del Cliente /CX - Sede Lima,Caja Arequipa,https://www.bumeran.com.pe/empleos-area-marketing-y-publicidad-discapacitados-apto.html,,"San Isidro, Lima"
